MEDIDAS#es,MEDIDAS_CODE,EDAD#es,EDAD_CODE,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,SEXO#es,SEXO_CODE,TERRITORIO#es,TERRITORIO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2018 Primer trimestre,2018-Q1,Total,_T,Canarias,ES70,2291579,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2018 Segundo trimestre,2018-Q2,Total,_T,Canarias,ES70,1610167,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2018 Tercer trimestre,2018-Q3,Total,_T,Canarias,ES70,1354628,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2018 Cuarto trimestre,2018-Q4,Total,_T,Canarias,ES70,2188775,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2018,2018,Total,_T,Canarias,ES70,7445149,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2019 Primer trimestre,2019-Q1,Total,_T,Canarias,ES70,2176805,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2019 Segundo trimestre,2019-Q2,Total,_T,Canarias,ES70,1633828,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2019 Tercer trimestre,2019-Q3,Total,_T,Canarias,ES70,1382292,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2019 Cuarto trimestre,2019-Q4,Total,_T,Canarias,ES70,2287458,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2019,2019,Total,_T,Canarias,ES70,7480384,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2020 Primer trimestre,2020-Q1,Total,_T,Canarias,ES70,1808552,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2020 Segundo trimestre,2020-Q2,Total,_T,Canarias,ES70,,,Valor no disponible; el dato no existe,M,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2020 Tercer trimestre,2020-Q3,Total,_T,Canarias,ES70,270727,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2020 Cuarto trimestre,2020-Q4,Total,_T,Canarias,ES70,286474,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2020,2020,Total,_T,Canarias,ES70,2365753,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2021 Primer trimestre,2021-Q1,Total,_T,Canarias,ES70,158683,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2021 Segundo trimestre,2021-Q2,Total,_T,Canarias,ES70,261258,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2021 Tercer trimestre,2021-Q3,Total,_T,Canarias,ES70,692644,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2021 Cuarto trimestre,2021-Q4,Total,_T,Canarias,ES70,1502045,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2021,2021,Total,_T,Canarias,ES70,2614630,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2022 Primer trimestre,2022-Q1,Total,_T,Canarias,ES70,1546590,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2022 Segundo trimestre,2022-Q2,Total,_T,Canarias,ES70,1625569,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2022 Tercer trimestre,2022-Q3,Total,_T,Canarias,ES70,1305470,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2022 Cuarto trimestre,2022-Q4,Total,_T,Canarias,ES70,2020483,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2022,2022,Total,_T,Canarias,ES70,6498111,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2023 Primer trimestre,2023-Q1,Total,_T,Canarias,ES70,2179693,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Total,_T,2023 Segundo trimestre,2023-Q2,Total,_T,Canarias,ES70,1458931,,,,
