TERRITORIO#en,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#en,TIME_PERIOD#es,TIME_PERIOD_CODE,TIPO_ALOJAMIENTO#en,TIPO_ALOJAMIENTO#es,TIPO_ALOJAMIENTO_CODE,MEDIDAS#en,MEDIDAS#es,MEDIDAS_CODE,PAIS_RESIDENCIA#en,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#en,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION,ESTADO_OBSERVACION#en,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Canary Islands,Canarias,ES70,2018 First quarter,2018 Primer trimestre,2018-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,32798,,,,,,
Canary Islands,Canarias,ES70,2018 Second quarter,2018 Segundo trimestre,2018-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,30185,,,,,,
Canary Islands,Canarias,ES70,2018 Third quarter,2018 Tercer trimestre,2018-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,24858,,,,,,
Canary Islands,Canarias,ES70,2018 Fourth quarter,2018 Cuarto trimestre,2018-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,41841,,,,,,
Canary Islands,Canarias,ES70,2018,2018,2018,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,129682,,,,,,
Canary Islands,Canarias,ES70,2019 First quarter,2019 Primer trimestre,2019-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,43169,,,,,,
Canary Islands,Canarias,ES70,2019 Second quarter,2019 Segundo trimestre,2019-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,43153,,,,,,
Canary Islands,Canarias,ES70,2019 Third quarter,2019 Tercer trimestre,2019-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,34959,,,,,,
Canary Islands,Canarias,ES70,2019 Fourth quarter,2019 Cuarto trimestre,2019-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,57536,,,,,,
Canary Islands,Canarias,ES70,2019,2019,2019,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,178816,,,,,,
Canary Islands,Canarias,ES70,2020 First quarter,2020 Primer trimestre,2020-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,40396,,,,,,
Canary Islands,Canarias,ES70,2020 Second quarter,2020 Segundo trimestre,2020-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,,,,,Missing value; data cannot exist,Valor no disponible; el dato no existe,M
Canary Islands,Canarias,ES70,2020 Third quarter,2020 Tercer trimestre,2020-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,12714,,,,,,
Canary Islands,Canarias,ES70,2020 Fourth quarter,2020 Cuarto trimestre,2020-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,15620,,,,,,
Canary Islands,Canarias,ES70,2020,2020,2020,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,68730,,,,,,
Canary Islands,Canarias,ES70,2021 First quarter,2021 Primer trimestre,2021-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,8929,,,,,,
Canary Islands,Canarias,ES70,2021 Second quarter,2021 Segundo trimestre,2021-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,18109,,,,,,
Canary Islands,Canarias,ES70,2021 Third quarter,2021 Tercer trimestre,2021-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,36155,,,,,,
Canary Islands,Canarias,ES70,2021 Fourth quarter,2021 Cuarto trimestre,2021-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,58463,,,,,,
Canary Islands,Canarias,ES70,2021,2021,2021,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,121656,,,,,,
Canary Islands,Canarias,ES70,2022 First quarter,2022 Primer trimestre,2022-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,39223,,,,,,
Canary Islands,Canarias,ES70,2022 Second quarter,2022 Segundo trimestre,2022-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,43595,,,,,,
Canary Islands,Canarias,ES70,2022 Third quarter,2022 Tercer trimestre,2022-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,36370,,,,,,
Canary Islands,Canarias,ES70,2022 Fourth quarter,2022 Cuarto trimestre,2022-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,66586,,,,,,
Canary Islands,Canarias,ES70,2022,2022,2022,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,185774,,,,,,
Canary Islands,Canarias,ES70,2023 First quarter,2023 Primer trimestre,2023-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,64233,,,,,,
Canary Islands,Canarias,ES70,2023 Second quarter,2023 Segundo trimestre,2023-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,32654,,,,,,
Canary Islands,Canarias,ES70,2023 Third quarter,2023 Tercer trimestre,2023-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,38449,,,,,,
Canary Islands,Canarias,ES70,2023 Fourth quarter,2023 Cuarto trimestre,2023-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Germany,Alemania,DE,65754,,,,,,
