PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,NIVEL_INGRESOS#es,NIVEL_INGRESOS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Total,_T,Canarias,ES70,2018 Primer trimestre,2018-Q1,Total,_T,Turistas,TURISTAS,3625234,,,,
Total,_T,Canarias,ES70,2018 Segundo trimestre,2018-Q2,Total,_T,Turistas,TURISTAS,3025414,,,,
Total,_T,Canarias,ES70,2018 Tercer trimestre,2018-Q3,Total,_T,Turistas,TURISTAS,3206687,,,,
Total,_T,Canarias,ES70,2018 Cuarto trimestre,2018-Q4,Total,_T,Turistas,TURISTAS,3628425,,,,
Total,_T,Canarias,ES70,2018,2018,Total,_T,Turistas,TURISTAS,13485760,,,,
Total,_T,Canarias,ES70,2019 Primer trimestre,2019-Q1,Total,_T,Turistas,TURISTAS,3592235,,,,
Total,_T,Canarias,ES70,2019 Segundo trimestre,2019-Q2,Total,_T,Turistas,TURISTAS,2993111,,,,
Total,_T,Canarias,ES70,2019 Tercer trimestre,2019-Q3,Total,_T,Turistas,TURISTAS,3101631,,,,
Total,_T,Canarias,ES70,2019 Cuarto trimestre,2019-Q4,Total,_T,Turistas,TURISTAS,3588856,,,,
Total,_T,Canarias,ES70,2019,2019,Total,_T,Turistas,TURISTAS,13275834,,,,
Total,_T,Canarias,ES70,2020 Primer trimestre,2020-Q1,Total,_T,Turistas,TURISTAS,2741714,,,,
Total,_T,Canarias,ES70,2020 Segundo trimestre,2020-Q2,Total,_T,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
Total,_T,Canarias,ES70,2020 Tercer trimestre,2020-Q3,Total,_T,Turistas,TURISTAS,763715,,,,
Total,_T,Canarias,ES70,2020 Cuarto trimestre,2020-Q4,Total,_T,Turistas,TURISTAS,605526,,,,
Total,_T,Canarias,ES70,2020,2020,Total,_T,Turistas,TURISTAS,4110955,,,,
Total,_T,Canarias,ES70,2021 Primer trimestre,2021-Q1,Total,_T,Turistas,TURISTAS,356740,,,,
Total,_T,Canarias,ES70,2021 Segundo trimestre,2021-Q2,Total,_T,Turistas,TURISTAS,676138,,,,
Total,_T,Canarias,ES70,2021 Tercer trimestre,2021-Q3,Total,_T,Turistas,TURISTAS,1868680,,,,
Total,_T,Canarias,ES70,2021 Cuarto trimestre,2021-Q4,Total,_T,Turistas,TURISTAS,2926334,,,,
Total,_T,Canarias,ES70,2021,2021,Total,_T,Turistas,TURISTAS,5827892,,,,
Total,_T,Canarias,ES70,2022 Primer trimestre,2022-Q1,Total,_T,Turistas,TURISTAS,2880448,,,,
Total,_T,Canarias,ES70,2022 Segundo trimestre,2022-Q2,Total,_T,Turistas,TURISTAS,3085229,,,,
Total,_T,Canarias,ES70,2022 Tercer trimestre,2022-Q3,Total,_T,Turistas,TURISTAS,3162519,,,,
Total,_T,Canarias,ES70,2022 Cuarto trimestre,2022-Q4,Total,_T,Turistas,TURISTAS,3703883,,,,
Total,_T,Canarias,ES70,2022,2022,Total,_T,Turistas,TURISTAS,12832078,,,,
Total,_T,Canarias,ES70,2023 Primer trimestre,2023-Q1,Total,_T,Turistas,TURISTAS,3737608,,,,
Total,_T,Canarias,ES70,2023 Segundo trimestre,2023-Q2,Total,_T,Turistas,TURISTAS,3079381,,,,
Total,_T,Canarias,ES70,2023 Tercer trimestre,2023-Q3,Total,_T,Turistas,TURISTAS,3238379,,,,
Total,_T,Canarias,ES70,2023 Cuarto trimestre,2023-Q4,Total,_T,Turistas,TURISTAS,4052752,,,,
